HS Thickness (mm),LS Thickness (mm),Selective Layer Thickness (mm),Total Thickness (mm),HS Conductivity (S/m),LS Conductivity (S/m),CS Conductivity (S/m),AS Conductivity (S/m),CS Fixed Charge (mol m-3),AS Fixed Charge (mol m-3),Combined Parameter B (mol m-3),HS Concentration (mol m-3),LS Concentration (mol m-3),Combined Parameter A (mol m-3),Cation Transference Number,Charge Transfer Resistance (ohms),Current Density (A),,Capacity Retention D1D2,Capacity Retention D1D5,Capacity Retention D2D10,Coulombic Efficiency C1D2,Coulombic Efficiency C5D6,Coulombic Efficiency C9D10,Voltage Efficiency C1D2,Voltage Efficiency C5D6,Voltage Efficiency C9D10,Energy Efficiency C1D2,Energy Efficiency C5D6,Energy Efficiency C9D10,Maximum Potential D1 (V),Discharge Duration D1 (h),Average Power Density D1 (W m-3),Maximum Power Density D1 (W m-3),Energy Density D1 (Wh m-3)
0.9,0.9,0.18,3.06,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,2.50E-05,,0.56452591,0.432719452,0.362476382,1.177512832,1.074057274,0.283615799,0.260940496,0.26859223,1.326652719,0.307260783,0.288483439,0.37625967,0.219093998,74.39,1.066162813,7.034191238,79.28654039
0.9,0.9,0.9,4.5,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,2.50E-05,,0.649167192,0.546023311,0.493623406,1.129472432,1.106746432,0.25408944,0.261148502,0.259237389,1.470016091,0.294960034,0.286910055,0.373515566,0.224349899,26.66,0.65606409,4.897996626,17.47219392
0.9,0.9,1.2,5.1,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,2.50E-05,,0.671658429,0.575792376,0.534796063,1.193266548,1.080046188,0.270219609,0.252075488,0.257951401,1.333388884,0.300793247,0.278599427,0.360307822,0.224293026,18.36,0.596453987,4.320666153,10.93477577
0.9,0.9,1.8,6.3,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,2.50E-05,,0.704077463,0.631403913,0.595985396,1.114812718,1.138313411,0.260513975,0.258894381,0.24828939,1.306063518,0.288618749,0.282631143,0.340247798,0.224179257,9.87,0.574577453,3.495907983,5.658957459
0.9,1.2,0.18,3.36,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,2.50E-05,,0.577373632,0.465997769,0.393184873,1.207429316,0.970076533,0.300608495,0.254188189,0.284607623,1.19480218,0.306914271,0.276091176,0.359167685,0.217348412,55.93,0.926914563,6.355098866,51.81909439
0.9,1.2,0.9,4.8,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,2.50E-05,,0.66188557,0.569783973,0.519417011,1.158098291,1.149197317,0.267013504,0.255989019,0.24822013,1.355870471,0.296460445,0.285253908,0.362035725,0.222604321,20.66,0.62296878,4.556144293,12.85347337
1.8,0.9,0.18,4.86,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,2.50E-05,,0.543208644,0.402127165,0.332972252,1.103069075,1.074906221,0.273917482,0.274314609,0.268601629,1.420961449,0.302587962,0.288721562,0.389226182,0.215062339,172.06,0.705902344,4.347436144,121.442374
1.8,0.9,0.9,6.3,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,2.50E-05,,0.574495869,0.467023771,0.407278192,1.010435376,1.062190073,0.299070455,0.284504648,0.265469662,1.202169921,0.287473561,0.28197924,0.359533506,0.223595335,89.35,0.49436031,3.486802164,44.15821351
1.8,0.9,1.8,8.1,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,2.50E-05,,0.619259801,0.534264615,0.486281496,1.143347931,1.1202505,0.293242283,0.258836491,0.253581723,1.202937416,0.295940166,0.284075053,0.352752114,0.223424756,42.82,0.390076211,2.709888308,16.69311179
1.8,1.8,0.18,5.76,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,2.50E-05,,0.564479752,0.454851428,0.384110247,1.023127937,0.973371168,0.298118741,0.283721682,0.28157807,1.217096266,0.290283579,0.274079975,0.362839206,0.209825565,103.99,0.550176976,3.578829711,57.200085
